what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1410612486265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612496857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612508439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612530472
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612537476
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1410612540689
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612548027
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612555278
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1410612555406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612558484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612579070
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1410612580907
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1410612585454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1410612588556
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1410612590455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1410612604827
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612605111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612614179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612618226
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612621634
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1410612622289
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1410612622351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612622952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612725040
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1410612726140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1410612727869
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1410612739766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1410612742440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1410612751837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612753123
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612757444
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1410612757559
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1410612761716
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1410612768299
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1410612774263
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1410612777124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612778018
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612782031
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1410612782130
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1410612783617
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1410612804921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1410612805063
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1410612809033
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1410612811038
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612811802
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612818766
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1410612818869
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1410612820667
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1410612823824
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612824552
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612832133
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1410612832259
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1410612834888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612848434
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612849878
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1410612849991
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1410612851135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612851838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410612856015
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1410612862740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1410612867447
